Encourage_Common_Idenitiy_mariziz_title;The Common Identiteit;;;;;;;;;;;;;
Encourage_Common_Idenitiy_mariziz_desc;The vast spand of our paradijs is filled with many dutch descendants. The idea of our unitary state now reaches out to all our broers, calling for one great brotherly nation.;;;;;;;;;;;;;
persian_brotherhood_Georgia_sweet_georgia_title;Persian Brotherhood;;;;;;;;;;;;;
persian_brotherhood_Georgia_sweet_georgia_desc;Jesse, we need to form a brotherhood with the persians, JESSE, we need to fraternize;;;;;;;;;;;;;
french_fraternity_oroaorahahahdsijs_title;Liberty, equality, fraternity;;;;;;;;;;;;;
french_fraternity_oroaorahahahdsijs_desc;Our french roots run deep. The idea of a united french idenity is spreading, and soon all french men will join hand in hand.;;;;;;;;;;;;;
MRZ_reactionary;Nationale Katholieke Partij;;;;;;;;;;;;;
MRZ_liberal;The Paradijselijk Partij;;;;;;;;;;;;;
MRZ_socialist;Remarizian Partij;;;;;;;;;;;;;
MRZ_conservative;Buffett Partij;;;;;;;;;;;;;
MRZ_communist;Verenigde West-Indische Communistische Partij;;;;;;;;;;;;;
MRZ_fascist;Nederlandse Nationale Partij;;;;;;;;;;;;;
will_receive_title;Request A Grant;;;;;;;;;;;;x;;;
will_receive_desc;This will request a grant from other players. Please note they must have choosen the decision to enable giving grants for the request to go through. It can be reversed at any time.;;;;;;;;;;;;x;;;
#will_not_receive_title;Disable Receiving Grants;;;;;;;;;;;;x;;;
#will_not_receive_desc;This will prohibit other players from giving us grants. It can be reversed at any time.;;;;;;;;;;;;x;;;
will_give_title;Enable Giving Grants;;;;;;;;;;;;x;;;
will_give_desc;This will allow us to give grants to other players. It must be activated before a player chooses to request grants. It can be reversed at any time.;;;;;;;;;;;;x;;;
will_not_give_title;Disable Giving Grants;;;;;;;;;;;;x;;;
will_not_give_desc;This will prevent us from getting events when other players request grants. It can be reversed at any time.;;;;;;;;;;;;x;;;
