PROV29;Davaee Kee Topee;Davaee Kee Topee;Davaee Kee Topee;Davaee Kee Topee;Davaee Kee Topee;Davaee Kee Topee;Davaee Kee Topee;Davaee Kee Topee;Davaee Kee Topee;Davaee Kee Topee;Davaee Kee Topee;Davaee Kee Topee;Davaee Kee Topee;x
PROV118;Dibiarugareesh;Dibiarugareesh;Dibiarugareesh;Dibiarugareesh;Dibiarugareesh;Dibiarugareesh;Dibiarugareesh;Dibiarugareesh;Dibiarugareesh;Dibiarugareesh;Dibiarugareesh;Dibiarugareesh;Dibiarugareesh;x
PROV254;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;x
PROV255;Daire;Daire;Daire;Daire;Daire;Daire;Daire;Daire;Daire;Daire;Daire;Daire;Daire;x
PROV256;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;x
PROV257;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;x
PROV258;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;x
PROV259;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;x
PROV261;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;x
PROV263;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;x
PROV264;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;x
PROV265;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;x
PROV300;Londrez;Londrez;Londrez;Londrez;Londrez;Londrez;Londrez;Londrez;Londrez;Londrez;Londrez;Londrez;Londrez;x
PROV336;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;x
PROV337;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;x
PROV343;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;x
PROV347;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;x
PROV349;Lindanäs;Lindanäs;Lindanäs;Lindanäs;Lindanäs;Lindanäs;Lindanäs;Lindanäs;Lindanäs;Lindanäs;Lindanäs;Lindanäs;Lindanäs;x
PROV356;Dynaburg;Dynaburg;Dynaburg;Dynaburg;Dynaburg;Dynaburg;Dynaburg;Dynaburg;Dynaburg;Dynaburg;Dynaburg;Dynaburg;Dynaburg;x
PROV366;Århus;Århus;Århus;Århus;Århus;Århus;Århus;Århus;Århus;Århus;Århus;Århus;Århus;x
PROV367;Ålborg;Ålborg;Ålborg;Ålborg;Ålborg;Ålborg;Ålborg;Ålborg;Ålborg;Ålborg;Ålborg;Ålborg;Ålborg;x
PROV370;Flensbörg;Flensbörg;Flensbörg;Flensbörg;Flensbörg;Flensbörg;Flensbörg;Flensbörg;Flensbörg;Flensbörg;Flensbörg;Flensbörg;Flensbörg;x
PROV371;Åbenrå;Åbenrå;Åbenrå;Åbenrå;Åbenrå;Åbenrå;Åbenrå;Åbenrå;Åbenrå;Åbenrå;Åbenrå;Åbenrå;Åbenrå;x
PROV372;Köpenhamn;Köpenhamn;Köpenhamn;Köpenhamn;Köpenhamn;Köpenhamn;Köpenhamn;Köpenhamn;Köpenhamn;Köpenhamn;Köpenhamn;Köpenhamn;Köpenhamn;x
PROV393;Doornik;Doornik;Doornik;Doornik;Doornik;Doornik;Doornik;Doornik;Doornik;Doornik;Doornik;Doornik;Doornik;x
PROV394;Karelskoning;Karelskoning;Karelskoning;Karelskoning;Karelskoning;Karelskoning;Karelskoning;Karelskoning;Karelskoning;Karelskoning;Karelskoning;Karelskoning;Karelskoning;x
PROV399;Rijsel;Rijsel;Rijsel;Rijsel;Rijsel;Rijsel;Rijsel;Rijsel;Rijsel;Rijsel;Rijsel;Rijsel;Rijsel;x
PROV400;Duinkerke;Duinkerke;Duinkerke;Duinkerke;Duinkerke;Duinkerke;Duinkerke;Duinkerke;Duinkerke;Duinkerke;Duinkerke;Duinkerke;Duinkerke;x
PROV401;Atrecht;Atrecht;Atrecht;Atrecht;Atrecht;Atrecht;Atrecht;Atrecht;Atrecht;Atrecht;Atrecht;Atrecht;Atrecht;x
PROV404;Kamerijk;Kamerijk;Kamerijk;Kamerijk;Kamerijk;Kamerijk;Kamerijk;Kamerijk;Kamerijk;Kamerijk;Kamerijk;Kamerijk;Kamerijk;x
PROV423;Naoned;Naoned;Naoned;Naoned;Naoned;Naoned;Naoned;Naoned;Naoned;Naoned;Naoned;Naoned;Naoned;x
PROV424;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;x
PROV458;Bourdel;Bourdel;Bourdel;Bourdel;Bourdel;Bourdel;Bourdel;Bourdel;Bourdel;Bourdel;Bourdel;Bourdel;Bourdel;x
PROV467;Marsiglia;Marsiglia;Marsiglia;Marsiglia;Marsiglia;Marsiglia;Marsiglia;Marsiglia;Marsiglia;Marsiglia;Marsiglia;Marsiglia;Marsiglia;x
PROV468;Avignone;Avignone;Avignone;Avignone;Avignone;Avignone;Avignone;Avignone;Avignone;Avignone;Avignone;Avignone;Avignone;x
PROV474;Corunha;Corunha;Corunha;Corunha;Corunha;Corunha;Corunha;Corunha;Corunha;Corunha;Corunha;Corunha;Corunha;x
PROV506;Carthagène;Carthagène;Carthagène;Carthagène;Carthagène;Carthagène;Carthagène;Carthagène;Carthagène;Carthagène;Carthagène;Carthagène;Carthagène;x
PROV510;Cordoue;Cordoue;Cordoue;Cordoue;Cordoue;Cordoue;Cordoue;Cordoue;Cordoue;Cordoue;Cordoue;Cordoue;Cordoue;x
PROV512;Cadix;Cadix;Cadix;Cadix;Cadix;Cadix;Cadix;Cadix;Cadix;Cadix;Cadix;Cadix;Cadix;x
PROV537;Getynky;Getynky;Getynky;Getynky;Getynky;Getynky;Getynky;Getynky;Getynky;Getynky;Getynky;Getynky;Getynky;x
PROV552;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;x
PROV558;Drážd'any;Drážd'any;Drážd'any;Drážd'any;Drážd'any;Drážd'any;Drážd'any;Drážd'any;Drážd'any;Drážd'any;Drážd'any;Drážd'any;Drážd'any;x
PROV559;Lipsk;Lipsk;Lipsk;Lipsk;Lipsk;Lipsk;Lipsk;Lipsk;Lipsk;Lipsk;Lipsk;Lipsk;Lipsk;x
PROV575;Keulen;Keulen;Keulen;Keulen;Keulen;Keulen;Keulen;Keulen;Keulen;Keulen;Keulen;Keulen;Keulen;x
PROV576;Aken;Aken;Aken;Aken;Aken;Aken;Aken;Aken;Aken;Aken;Aken;Aken;Aken;x
PROV577;Kleef;Kleef;Kleef;Kleef;Kleef;Kleef;Kleef;Kleef;Kleef;Kleef;Kleef;Kleef;Kleef;x
PROV578;Dusseldorp;Dusseldorp;Dusseldorp;Dusseldorp;Dusseldorp;Dusseldorp;Dusseldorp;Dusseldorp;Dusseldorp;Dusseldorp;Dusseldorp;Dusseldorp;Dusseldorp;x
PROV589;Štíhrad;Štíhrad;Štíhrad;Štíhrad;Štíhrad;Štíhrad;Štíhrad;Štíhrad;Štíhrad;Štíhrad;Štíhrad;Štíhrad;Štíhrad;x
PROV599;Mnichov;Mnichov;Mnichov;Mnichov;Mnichov;Mnichov;Mnichov;Mnichov;Mnichov;Mnichov;Mnichov;Mnichov;Mnichov;x
PROV602;Rezno;Rezno;Rezno;Rezno;Rezno;Rezno;Rezno;Rezno;Rezno;Rezno;Rezno;Rezno;Rezno;x
PROV604;Bazel;Bazel;Bazel;Bazel;Bazel;Bazel;Bazel;Bazel;Bazel;Bazel;Bazel;Bazel;Bazel;x
PROV607;Ginevra;Ginevra;Ginevra;Ginevra;Ginevra;Ginevra;Ginevra;Ginevra;Ginevra;Ginevra;Ginevra;Ginevra;Ginevra;x
PROV616;Hradec;Hradec;Hradec;Hradec;Hradec;Hradec;Hradec;Hradec;Hradec;Hradec;Hradec;Hradec;Hradec;x
PROV618;Želanec;Želanec;Želanec;Želanec;Želanec;Želanec;Želanec;Želanec;Želanec;Želanec;Želanec;Želanec;Želanec;x
PROV619;Víden;Víden;Víden;Víden;Víden;Víden;Víden;Víden;Víden;Víden;Víden;Víden;Víden;x
PROV622;Linec;Linec;Linec;Linec;Linec;Linec;Linec;Linec;Linec;Linec;Linec;Linec;Linec;x
PROV627;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;x
PROV633;Požun;Požun;Požun;Požun;Požun;Požun;Požun;Požun;Požun;Požun;Požun;Požun;Požun;x
PROV654;Kluž;Kluž;Kluž;Kluž;Kluž;Kluž;Kluž;Kluž;Kluž;Kluž;Kluž;Kluž;Kluž;x
PROV659;Brašov;Brašov;Brašov;Brašov;Brašov;Brašov;Brašov;Brašov;Brašov;Brašov;Brašov;Brašov;Brašov;x
PROV683;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;x
PROV684;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;x
PROV687;Zhorelec;Zhorelec;Zhorelec;Zhorelec;Zhorelec;Zhorelec;Zhorelec;Zhorelec;Zhorelec;Zhorelec;Zhorelec;Zhorelec;Zhorelec;x
PROV699;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;x
PROV719;Belostok;Belostok;Belostok;Belostok;Belostok;Belostok;Belostok;Belostok;Belostok;Belostok;Belostok;Belostok;Belostok;x
PROV745;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;x
PROV748;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;x
PROV768;Lublan;Lublan;Lublan;Lublan;Lublan;Lublan;Lublan;Lublan;Lublan;Lublan;Lublan;Lublan;Lublan;x
PROV807;Monastiri;Monastiri;Monastiri;Monastiri;Monastiri;Monastiri;Monastiri;Monastiri;Monastiri;Monastiri;Monastiri;Monastiri;Monastiri;x
PROV826;Corcyra;Corcyra;Corcyra;Corcyra;Corcyra;Corcyra;Corcyra;Corcyra;Corcyra;Corcyra;Corcyra;Corcyra;Corcyra;x
PROV830;Alexandroupolis;Alexandroupolis;Alexandroupolis;Alexandroupolis;Alexandroupolis;Alexandroupolis;Alexandroupolis;Alexandroupolis;Alexandroupolis;Alexandroupolis;Alexandroupolis;Alexandroupolis;Alexandroupolis;x
PROV851;Drac;Drac;Drac;Drac;Drac;Drac;Drac;Drac;Drac;Drac;Drac;Drac;Drac;x
PROV853;Argyrocastron;Argyrocastron;Argyrocastron;Argyrocastron;Argyrocastron;Argyrocastron;Argyrocastron;Argyrocastron;Argyrocastron;Argyrocastron;Argyrocastron;Argyrocastron;Argyrocastron;x
PROV858;Saranta Ekklisies;Saranta Ekklisies;Saranta Ekklisies;Saranta Ekklisies;Saranta Ekklisies;Saranta Ekklisies;Saranta Ekklisies;Saranta Ekklisies;Saranta Ekklisies;Saranta Ekklisies;Saranta Ekklisies;Saranta Ekklisies;Saranta Ekklisies;x
PROV860;Constantinopolis;Constantinopolis;Constantinopolis;Constantinopolis;Constantinopolis;Constantinopolis;Constantinopolis;Constantinopolis;Constantinopolis;Constantinopolis;Constantinopolis;Constantinopolis;Constantinopolis;x
